sample_id,species,population,subspecies,city_region,country,lat,long,western_hemisphere,coverage,relatedness,inbreeding,PC1,PC2,cluster
1369A_A,A. mellifera,SoCal,SoCal-This-Study,California,U.S.A,33.964025,-117.341792,Y,17.0878,Related,0.109083744,-0.069637628,0.052163096,1
1369A_B,A. mellifera,SoCal,SoCal-This-Study,California,U.S.A,33.964025,-117.341792,Y,19.1656,Unrelated,0.155102086,-0.07723458,0.062405154,1
1369A_C,A. mellifera,SoCal,SoCal-This-Study,California,U.S.A,33.964025,-117.341792,Y,19.868,Related,0.095641282,-0.069817787,0.05059812,1
352_A,A. mellifera,NorCal,NorCal-This-Study,Northern CA,U.S.A,36.875728,-121.722275,Y,15.0481,Related,0.326552764,-0.096919615,0.05255661,1
352_B,A. mellifera,NorCal,NorCal-This-Study,Northern CA,U.S.A,36.875728,-121.722275,Y,16.4653,Related,0.290704828,-0.093926548,0.06316942,1
352_C,A. mellifera,NorCal,NorCal-This-Study,Northern CA,U.S.A,36.875728,-121.722275,Y,16.9417,Unrelated,0.29159138,-0.096273685,0.066295934,1
451_A,A. mellifera,NorCal,NorCal-This-Study,Northern CA,U.S.A,36.875728,-121.722275,Y,23.5038,Unrelated,0.289212105,-0.096217301,0.067546485,1
451_B,A. mellifera,NorCal,NorCal-This-Study,Northern CA,U.S.A,36.875728,-121.722275,Y,21.0836,Related,0.362510295,-0.096054472,0.067168904,1
451_C,A. mellifera,NorCal,NorCal-This-Study,Northern CA,U.S.A,36.875728,-121.722275,Y,16.0831,Related,0.316573772,-0.096172783,0.06119514,1
454_A,A. mellifera,NorCal,NorCal-This-Study,Northern CA,U.S.A,36.875728,-121.722275,Y,20.2212,Related,0.315343987,-0.096130281,0.07120824,1
454_B,A. mellifera,NorCal,NorCal-This-Study,Northern CA,U.S.A,36.875728,-121.722275,Y,18.9535,Unrelated,0.29712348,-0.097193571,0.072263095,1
454_C,A. mellifera,NorCal,NorCal-This-Study,Northern CA,U.S.A,36.875728,-121.722275,Y,18.626,Related,0.31148986,-0.094812114,0.071633832,1
Aada_bur2,A. mellifera,A,A. m. adansonii,Kurkina,Burkina Faso,12.470377,-1.698263,N,73.4224,Unrelated,0.104919004,0.054609853,-0.015143648,7
Aada_bur4,A. mellifera,A,A. m. adansonii,Kurkina,Burkina Faso,12.470377,-1.698263,N,72.3128,Unrelated,0.108509841,0.055526542,-0.014517888,7
